pe_type,unit,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
PE_4,T_AI,DK	287 	148 	140 	209 	186 	156 	: c	309 	110 	135 	175 	104 	87 	310 	247 	331 	281 	189 	867 	330 	259 	303 	360 	323 	397 	240 	132 	97 	: 
PE_4,T_AI,EE	: 	43 	54 	28 	35 	23 	20 	9 	7 	6 	9 	8 	7 	9 	14 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,EL	: 	: 	: 	: 	: 	: 	: 	963 	1260 	1293 	1940 	1378 	1465 	793 	1380 	1142 	1300 	1100 	: 	362 	173 	357 	371 	9320 	8944 	: 	: 	: 	6137 
PE_4,T_AI,ES	: 	: 	: 	: 	: 	: 	: 	3927 	3657 	3585 	3500 	3627 	4661 	2967 	2945 	3628 	2846 	4640 	4661 	8650 	8543 	7069 	6700 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,EU15	: 	: 	: 	: 	: 	: 	: 	39665 	37723 	40602 	41194 	39516 	35700 	31778 	30374 	32832 	37024 	28059 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,FI	: 	: 	89 	72 	57 	73 	69 	70 	52 	64 	65 	64 	65 	73 	60 	31 	47 	103 	198 	184 	137 	160 	150 	144 	171 	161 	117 	141 	173 
PE_4,T_AI,FR	: 	11428 	10447 	10630 	10360 	8481 	8009 	10896 	7912 	11406 	7835 	6092 	7813 	5667 	4282 	5008 	4683 	3483 	7719 	7325 	3662 	3954 	4089 	3668 	: 	: 	: 	: 	: 
PE_4,T_AI,HU	1740 	1481 	1751 	1404 	1142 	804 	1062 	684 	430 	469 	547 	567 	588 	832 	744 	511 	525 	644 	950 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,IE	: 	: 	253 	327 	359 	390 	471 	349 	325 	301 	442 	312 	268 	247 	309 	259 	351 	281 	209 	174 	139 	: 	: 	: 	: 	: 	: 	: 	25 
PE_4,T_AI,IT	: 	: 	17393 	17664 	18186 	15842 	15236 	10819 	10812 	12376 	13271 	14691 	8655 	9045 	8449 	8478 	10054 	: 	11998 	12673 	12686 	9662 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	12 	20 	18 	27 	19 	17 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,LV	: 	146 	369 	111 	76 	9 	26 	49 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,MT	: 	: 	: 	: 	: 	14 	29 	29 	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,NL	: 	3116 	2724 	2470 	2252 	2212 	2090 	1961 	2320 	2452 	2277 	2619 	2694 	3367 	4111 	4428 	8184 	9120 	1559 	1189 	1233 	1185 	1166 	1244 	146 	: 	: 	: 	: 
PE_4,T_AI,NO	: 	39 	36 	24 	88 	27 	26 	13 	33 	107 	126 	55 	47 	55 	57 	58 	44 	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,PL	: 	1618 	2164 	2243 	1412 	908 	1259 	743 	978 	931 	741 	695 	466 	306 	437 	242 	263 	573 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,PT	2177 	2423 	1797 	1804 	1966 	1253 	1381 	1281 	2312 	1704 	1537 	1149 	625 	683 	529 	588 	239 	212 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,SE	: 	: 	17 	18 	17 	17 	32 	36 	33 	33 	33 	28 	27 	32 	44 	38 	29 	41 	44 	33 	74 	83 	241 	129 	137 	79 	33 	23 	: 
PE_4,T_AI,SI	: 	: 	110 	91 	98 	141 	106 	23 	122 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_4,T_AI,UK	: 	: 	6037 	6427 	6437 	7054 	7198 	7198 	7259 	6924 	6896 	6351 	6332 	5984 	6024 	5898 	5883 	5913 	2385 	2086 	2086 	1196 	1178 	1177 	1178 	1178 	: 	: 	: 
